index name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
SSelect_theta(1)_namuda(0.5),61,67,38,63,51,45,55,59,41,53,49,65,57,40,47,62,64,69,36,66,43,60,56,89,32,39,58,37,34,42,44,81,68,71,35,30,84,85,87,77,75,72,83,54,70,46,74,73,80,86,88,76,33,79,26,78,82,28,24,22,50,20,52,31,48,18,16,25,19,21,27,14,23,29,12,13,17,0,9,10,2,6,4,15,5,3,7,1,8,11
SSelect_theta(1)_namuda(0.6000000000000001),61,55,49,53,63,67,59,45,57,51,47,65,43,41,38,69,40,39,89,36,64,56,37,32,42,71,58,60,34,62,81,35,87,85,73,44,77,79,75,66,30,68,83,54,84,70,33,74,86,88,46,52,72,76,82,28,80,50,78,18,26,20,31,25,48,22,19,21,23,24,29,16,27,14,17,15,4,13,11,7,9,10,12,1,5,0,6,2,3,8
SSelect_theta(1)_namuda(0.7000000000000001),61,55,49,63,53,51,59,47,45,57,65,67,43,41,39,38,69,40,71,37,89,36,60,58,34,35,87,56,73,81,83,62,64,85,75,42,77,79,44,32,33,66,30,68,54,84,46,86,31,29,88,26,74,70,80,52,24,18,28,25,82,76,48,72,23,21,19,22,78,50,20,16,17,27,14,13,15,7,9,5,12,1,3,11,10,8,4,0,2,6
SSelect_theta(1)_namuda(0.8),53,55,51,59,57,61,45,47,49,63,43,65,67,41,39,69,89,38,37,71,40,87,73,36,35,85,75,81,83,77,60,62,79,34,58,42,56,33,32,64,44,66,54,30,31,29,25,68,84,88,86,46,23,21,28,52,27,19,26,82,70,80,50,72,24,74,22,78,20,18,48,17,76,15,16,13,9,7,11,14,1,5,3,12,10,2,4,8,0,6
SSelect_theta(1)_namuda(0.9),53,55,51,49,59,57,61,47,45,63,43,65,41,67,39,69,37,89,71,87,73,35,85,38,77,81,75,83,36,40,79,33,60,34,62,58,42,56,31,64,29,32,44,25,54,27,66,23,30,21,88,19,86,46,84,68,52,28,17,26,48,15,50,82,70,9,80,13,20,22,11,18,7,24,1,5,74,3,72,76,78,16,14,12,10,4,8,6,2,0
SSelect_theta(1)_namuda(1.0),53,51,55,49,57,59,47,61,45,43,63,41,65,67,39,69,37,71,89,87,73,35,85,75,77,81,79,83,38,33,36,40,60,31,58,34,29,62,42,25,27,56,23,64,32,21,44,54,19,30,17,66,88,15,86,52,46,13,84,9,7,11,5,1,28,3,82,68,48,26,50,24,20,18,22,80,16,70,14,78,72,74,76,12,10,8,6,0,2,4
SSelect_theta(10)_namuda(0.0),66,32,56,64,40,62,38,68,44,58,34,36,30,70,42,74,72,60,63,84,54,80,78,67,65,76,86,82,26,88,69,50,46,41,45,55,22,48,28,61,81,89,52,39,71,18,37,59,49,20,35,53,16,57,47,77,24,75,73,43,85,14,87,2,4,83,33,6,8,10,51,0,19,79,12,21,23,31,29,17,25,9,11,15,13,7,5,1,3,27
SSelect_theta(10)_namuda(0.1),38,66,64,40,56,58,44,68,32,36,62,67,42,34,63,70,65,74,80,76,61,72,30,54,78,84,55,60,46,69,52,88,18,45,50,28,86,22,39,26,48,53,82,83,89,59,41,20,81,57,71,43,37,47,87,35,51,85,75,73,14,24,49,77,4,33,79,12,2,6,16,10,19,0,21,31,29,25,8,17,23,13,15,9,5,7,1,3,27,11
SSelect_theta(10)_namuda(0.2),38,40,32,64,56,68,36,66,67,62,34,63,70,61,42,30,44,60,58,69,72,45,65,84,49,41,74,80,55,54,59,39,53,78,86,71,76,47,83,57,43,88,89,51,81,35,82,75,46,26,52,37,48,50,73,85,28,20,87,22,16,18,77,33,79,24,2,19,14,0,4,21,6,29,10,31,12,25,23,8,15,17,11,13,7,1,9,3,5,27
SSelect_theta(10)_namuda(0.30000000000000004),38,67,40,36,63,66,64,32,34,60,45,56,55,59,65,62,41,42,68,44,47,69,58,30,53,61,49,70,57,51,72,54,74,43,39,89,71,18,80,86,84,35,81,37,88,76,87,83,85,78,28,77,50,73,82,46,75,22,24,48,79,52,33,20,26,16,19,25,4,14,21,31,12,29,6,0,23,8,2,13,17,10,15,9,1,27,5,3,7,11
