index name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
SSelect_theta(0.1)_namuda(0.9),60,56,64,39,41,63,78,57,86,45,55,8,32,95,17,97,88,52,10,99,38,83,28,51,50,47,19,94,92,9,16,89,84,35,43,40,81,79,37,85,15,23,12,33,29,18,27,5,25,1,42,24,21,0,91,54,58,59,61,82,77,44,66,68,76,73,72,71,70,69,74,67,75,65,62,31,80,13,7,6,22,49,20,48,53,30,36,87,90,26,98,93,4,3,2,96,14,34,11,46
SSelect_theta(0.1)_namuda(1.0),34,32,11,33,36,37,35,15,9,38,25,12,92,99,95,16,7,23,8,78,31,30,26,17,66,76,29,51,24,68,27,45,49,90,94,41,54,19,52,65,73,77,48,97,1,96,87,85,6,5,84,47,71,67,53,64,74,18,46,83,39,98,13,72,57,44,91,89,28,43,50,69,79,20,82,21,10,2,80,55,63,59,58,86,42,0,4,93,88,75,22,60,56,14,61,70,40,62,3,81
SSelect_theta(1)_namuda(0.0),39,64,63,41,60,56,78,32,86,45,57,8,55,95,97,17,88,10,52,28,99,83,84,50,19,47,51,94,92,9,89,16,43,40,35,79,81,37,85,33,12,29,27,25,5,24,42,1,23,18,15,21,0,54,58,59,91,61,82,77,44,72,67,75,76,71,70,69,68,65,66,74,62,73,31,80,13,7,6,49,20,48,30,22,38,53,36,98,96,2,3,4,93,90,87,26,11,34,14,46
SSelect_theta(1)_namuda(0.1),39,41,56,60,64,63,55,78,57,32,86,17,8,97,95,52,10,88,38,28,83,99,34,45,19,84,16,51,9,50,47,92,94,43,40,79,35,81,37,85,42,29,21,27,25,33,77,15,58,23,24,59,18,54,61,91,12,82,0,5,1,44,65,74,72,76,67,73,66,71,68,70,75,69,62,31,30,20,22,53,80,13,48,49,89,6,7,36,26,87,98,96,93,4,3,90,2,46,11,14
SSelect_theta(1)_namuda(0.2),39,41,56,60,64,63,45,55,78,57,32,86,17,8,97,95,52,88,38,28,83,48,99,19,84,16,51,9,50,47,92,94,43,40,79,35,81,37,85,42,29,21,27,25,33,77,15,58,23,24,59,18,54,61,91,12,82,0,5,1,44,65,74,72,76,67,73,66,71,68,70,75,69,62,31,14,10,30,20,22,53,80,13,49,89,6,7,36,26,87,98,96,93,4,3,90,2,34,46,11
SSelect_theta(1)_namuda(0.30000000000000004),39,41,56,60,64,63,45,55,78,57,32,86,17,8,97,95,52,10,88,38,83,99,19,84,16,51,9,50,47,92,94,43,40,79,35,81,37,85,42,29,21,27,25,33,77,15,58,23,24,59,18,54,61,91,12,82,0,5,1,44,65,74,72,76,67,73,66,71,68,70,75,69,62,31,30,20,28,22,53,80,13,48,49,89,6,7,36,26,87,98,96,93,4,3,90,2,34,46,11,14
SSelect_theta(1)_namuda(0.4),39,41,56,60,64,63,45,55,78,57,32,86,17,8,97,95,52,88,38,28,83,48,99,19,84,16,51,9,50,47,89,92,94,43,40,79,35,81,37,85,42,29,21,27,25,33,77,15,58,23,24,59,18,54,61,91,12,82,0,5,1,44,65,74,72,76,67,73,66,71,68,70,75,69,62,31,10,30,20,22,53,80,13,49,6,7,36,26,87,98,96,93,4,3,90,2,34,46,11,14
SSelect_theta(1)_namuda(0.5),39,41,56,60,64,63,55,78,57,32,86,17,8,97,95,52,88,38,28,83,99,45,19,84,16,51,9,50,47,92,94,43,40,79,35,81,37,85,42,29,21,27,25,33,77,15,58,23,24,59,18,54,61,91,12,82,0,5,1,44,65,74,72,76,67,73,66,71,68,70,75,69,62,31,14,10,30,20,22,53,80,13,48,49,89,6,7,36,26,87,98,96,93,4,3,90,2,34,46,11
SSelect_theta(1)_namuda(0.6000000000000001),39,41,56,60,64,63,55,78,57,32,86,17,8,97,95,52,10,88,38,28,83,99,45,19,84,16,51,9,50,47,92,94,43,40,79,35,81,37,85,42,29,21,27,25,33,77,15,58,23,24,59,18,54,61,91,12,82,0,5,1,44,65,74,72,76,67,73,66,71,68,70,75,69,62,31,30,20,22,53,80,13,48,49,89,6,7,36,26,87,98,96,93,4,3,90,2,34,46,11,14
SSelect_theta(1)_namuda(0.7000000000000001),39,41,56,60,64,63,45,55,78,57,32,86,17,8,97,95,52,10,88,38,28,83,99,34,19,84,16,51,9,50,47,92,94,43,40,79,35,81,37,85,42,29,21,27,25,33,77,15,58,23,24,59,18,54,61,91,12,82,0,5,1,44,65,74,72,76,67,73,66,71,68,70,75,69,62,31,30,20,22,53,80,13,48,49,89,6,7,36,26,87,98,96,93,4,3,90,2,46,11,14
